area,building_type,location,num_bath_rooms,num_bed_rooms,price
4 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.4 Crore
3 Beds,Apartment,"Meradia, Khilgaon, Dhaka",3 Beds,3 Beds,87 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,86 Lakh
4 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",4 Beds,4 Beds,1 Crore
3 Beds,Apartment,"Sector 13, Uttara, Dhaka",3 Beds,3 Beds,1.4 Crore
4 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",4 Beds,4 Beds,1 Crore
3 Beds,Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3 Beds,3 Beds,1.3 Crore
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.4 Crore
3 Beds,Apartment,"Sector 12, Uttara, Dhaka",3 Beds,3 Beds,2.8 Crore
3 Beds,Apartment,"Naya Paltan, Motijheel, Dhaka",3 Beds,3 Beds,1.45 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,49 Lakh
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.4 Crore
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.25 Crore
5 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",5 Beds,5 Beds,2.05 Crore
3 Beds,Apartment,"Block K, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.05 Crore
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.28 Crore
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,85 Lakh
3 Beds,Apartment,"Block J, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore
2 Beds,Apartment,"East Hazipara, East Rampura, Rampura, Dhaka",2 Beds,2 Beds,68 Lakh
4 Beds,Apartment,"Block K, Baridhara, Dhaka",4 Beds,4 Beds,6.8 Crore
3 Beds,Apartment,"Block D, Section 15, Mirpur, Dhaka",3 Beds,3 Beds,1.43 Crore
3 Beds,Apartment,"Narinda, Sutrapur, Dhaka",3 Beds,3 Beds,84 Lakh
3 Beds,Apartment,"Block A, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.15 Crore
3 Beds,Apartment,"Sector 11, Uttara, Dhaka",3 Beds,3 Beds,1.85 Crore
3 Beds,Apartment,"Kallyanpur, Mirpur, Dhaka",3 Beds,3 Beds,96 Lakh
2 Beds,Apartment,"Block A, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,35 Lakh
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,89 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
4 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",4 Beds,4 Beds,95 Lakh
3 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",3 Beds,3 Beds,1.25 Crore
2 Beds,Apartment,"East Hazipara, East Rampura, Rampura, Dhaka",2 Beds,2 Beds,68 Lakh
2 Beds,Apartment,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",2 Beds,2 Beds,42.5 Lakh
3 Beds,Apartment,"Priyanka City, Sector 12, Uttara, Dhaka",3 Beds,3 Beds,1.35 Crore
4 Beds,Apartment,"Block M, Banasree, Dhaka",4 Beds,4 Beds,1.38 Crore
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,89 Lakh
3 Beds,Apartment,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",3 Beds,3 Beds,62 Lakh
3 Beds,Apartment,"Nayatola, Maghbazar, Dhaka",3 Beds,3 Beds,86 Lakh
3 Beds,Apartment,"Block A, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Badda, Dhaka",3 Beds,3 Beds,93 Lakh
4 Beds,Apartment,"Sector 2, Block H, Aftab Nagar, Dhaka",4 Beds,4 Beds,1.55 Crore
2 Beds,Apartment,"West Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,55 Lakh
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.13 Crore
3 Beds,Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,1.35 Crore
2 Beds,Apartment,"Badda, Dhaka",2 Beds,2 Beds,79 Lakh
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.16 Crore
2 Beds,Apartment,"Priyanka Runway City, Bawnia, Turag, Dhaka",2 Beds,2 Beds,85 Lakh
,Plot,"Section 11, Mirpur, Dhaka",,,1.8 Crore
3 Beds,Apartment,"Sector 11, Uttara, Dhaka",3 Beds,3 Beds,1.74 Crore
3 Beds,Apartment,"Bawnia, Turag, Dhaka",3 Beds,3 Beds,80 Lakh
4 Beds,Duplex,"Dhanmondi, Dhaka",4 Beds,4 Beds,3.9 Crore
3 Beds,Apartment,"Bawnia, Turag, Dhaka",3 Beds,3 Beds,86 Lakh
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Mohammadpur, Dhaka",3 Beds,3 Beds,2.22 Crore
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.37 Crore
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.13 Crore
2 Beds,Apartment,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",2 Beds,2 Beds,38 Lakh
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.13 Crore
3 Beds,Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3 Beds,3 Beds,90 Lakh
2 Beds,Apartment,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",2 Beds,2 Beds,40 Lakh
3 Beds,Apartment,"Jamtola, East Rampura, Rampura, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 Beds,3 Beds,72 Lakh
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Tejturi Bazar, Tejgaon, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.29 Crore
2 Beds,Apartment,"Sector 14, Uttara, Dhaka",2 Beds,2 Beds,70 Lakh
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.38 Crore
3 Beds,Apartment,"Block E, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.06 Crore
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.26 Crore
3 Beds,Apartment,"Block C Extension, Banasree, Dhaka",3 Beds,3 Beds,92 Lakh
3 Beds,Apartment,"Senpara Parbata, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Block A, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
4 Beds,Apartment,"Block I, Bashundhara R-A, Dhaka",4 Beds,4 Beds,1.8 Crore
